TID;TEXT
action_create_image;Створити зображення
ai_default_image_prompt;Креативне зображення
ai_mode_server_routing_desc;Моделі й ліміти вибираються на сервері для поточного акаунта.
ai_mode_server_routing_title;Серверна маршрутизація
ai_mode_task_modes_desc;Режими зображень, пошуку, покупок і навчання додають контекст до запиту без ручного вибору моделі.
ai_mode_task_modes_title;Режими завдань
ai_mode_title;Режим роботи ШІ
ai_prompt_attached_file;Прикріплений файл
ai_prompt_binary_file_no_excerpt;(Бінарний файл без текстової витримки)
ai_prompt_chat_context_summary;Стислий контекст попереднього діалогу:\n%s
ai_prompt_files_context;Короткі витримки з раніше прикріплених файлів:\n%s
ai_prompt_short_excerpt;Коротка витримка
ai_prompt_user_instructions;Інструкції користувача:\n%s
ai_summary_file_excerpt_label;Витримка з файлу
ai_summary_file_label;Файл
ai_summary_prompt;Зроби короткий підсумок важливих фактів із цієї частини листування:
ai_system_prompt_shopping;Ти помічник із покупок. Шукай варіанти, порівнюй характеристики та зазначай реальні обмеження.
ai_system_prompt_study;Ти навчальний помічник. Пояснюй покроково, перевіряй розуміння та допомагай закріпити матеріал.
ai_thinking;Réflexion...
anonymous_mode_desc;Ваш чат не буде збережено на пристрої.\nПісля закриття вкладки всі повідомлення зникнуть безслідно.
anonymous_mode_title;Режим інкогніто
app_brand;FreeChat
app_version;FreeChat Android %s
attachment_context_file_summary;Підсумок файлу
attachment_context_mime;MIME
attachment_context_preview;Попередній перегляд
attachment_context_truncated;[Контекст обрізано для приватності та економії токенів]
attachment_empty_text;[Файл/Зображення без тексту]
attachment_read_error;Не вдалося прочитати вкладення
attachment_text_truncated;[Вміст файлу обрізано]
attachment_too_large;Вкладення завелике для аналізу
auth_about_subtitle;Ці дані потрібні лише для вашого профілю FreeChat.
auth_about_title;Розкажіть про себе
auth_agreement_hint;Дані потрібні лише для налаштування вашого акаунта FreeChat.
auth_birth_date_picker_title;Виберіть дату народження
auth_birth_date_placeholder;Дата народження
auth_bot_code_placeholder;Код із бота
auth_continue_with_telegram;Продовжити через Telegram
auth_create_account;Створити акаунт
auth_error_birth_date_required;Виберіть дату народження
auth_error_bot_link_not_ready;Посилання на Telegram-бота ще не готове
